id,nom_de_plat,description,categorie,prix,ingredients,allergenes,temps_de_preparation,temps_de_cuisson,disponibilite,popularite,image_url
1,La carbonnade flamande,Un plat traditionnel belge à base de viande de bœuf mijotée dans de la bière brune avec des oignons et des épices.,Plat principal,15.99,"Viande de bœuf, bière brune, oignons, épices",Gluten,20,120,Disponible,4.5,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124337/315751142_800540741106161_1766663172958521880_n-1024x683.jpg
2,Le vol-au-vent,Un délicieux plat de volaille servi dans une pâte feuilletée croustillante avec une sauce crémeuse.,Plat principal,12.50,"Poulet, champignons, pâte feuilletée, crème",Gluten,30,45,Disponible,4.2,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124334/shutterstock_502675618-1-1024x683.jpg
3,Les frites,Des frites belges croustillantes et dorées,Accompagnement,4.00,"Pommes de terre, huile de friture",-,15,15,Disponible,4.8,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2022/01/11034109/friteries-1024x683.png
4,Les gaufres,Des gaufres belges moelleuses servies avec du sucre glace et/ou de la crème fouettée,Dessert,6.99,"Farine, sucre, lait, levure, beurre",Gluten,25,10,Disponible,4.6,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124333/281585686_583392839597530_1956561700133314990_n-e1672929415958-1024x719.jpg
5,Les croquettes aux crevettes grises,Des croquettes croustillantes remplies d'une délicieuse farce de crevettes grises,Entrée,9.99,"Crevettes grises, farine, beurre, lait, œufs",Crustacés,40,20,Disponible,4.3,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124332/306881192_3280327748921715_4299975318982775193_n-e1672929728801-1024x634.jpg
6,Les choux de Bruxelles,Des choux de Bruxelles légèrement rôtis et assaisonnés,Accompagnement,8.50,"Choux de Bruxelles, huile d'olive, sel, poivre",-,20,30,Disponible,4.0,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2021/03/03072225/shutterstock_757141150-1024x683.png
7,Les boulettes de viande,Des boulettes de viande savoureuses servies dans une sauce tomate maison,Plat principal,14.50,"Viande hachée, chapelure, œufs, oignons, tomates",Gluten,35,40,Disponible,4.4,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2021/06/03043911/143290541_3467633926693001_6197048865450764585_n-1024x575.jpg
8,Les moules,Des moules fraîches cuites dans une sauce au vin blanc et aux herbes,Plat principal,18.75,"Moules, vin blanc, oignons, persil, ail",Mollusques,25,25,Disponible,4.7,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124330/pexels-cottonbro-studio-6955638-1024x683.jpg
9,Le Spéculoos,Des biscuits croustillants à la cannelle, idéals pour accompagner le café,Dessert,3.50,"Farine, cassonade, cannelle, beurre, œufs",Gluten,20,12,Disponible,4.1,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124331/262576180_5329681077048187_3551742614811910468_n-e1672997589812-1024x790.jpg
10,Le stoemp,Un plat d'accompagnement belge composé de purée de pommes de terre et de légumes mélangés,Accompagnement,6.25,"Pommes de terre, carottes, poireaux, beurre, lait",Lactose,30,25,Disponible,4.0,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124329/20646903995_d905ebd1eb_k-1024x820.jpg
11,Le pistolet,Un petit pain belge traditionnel souvent garni de fromage ou de charcuterie,Entrée,5.00,"Farine, levure, eau, sel",Gluten,10,0,Disponible,4.2,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124329/31344335_1668654186553788_9100628009043361792_n-1024x683.jpg
12,La mitraillette,Un sandwich belge copieux garni de viande, de frites et de sauces,Plat principal,16.99,"Pain baguette, viande hachée, frites, mayonnaise, ketchup",Gluten,15,0,Disponible,4.6,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124328/3738258233_0d5cc5283f_h-1024x683.jpg
13,Le waterzooi,Un ragoût belge crémeux traditionnellement préparé avec du poisson ou du poulet et des légumes,Plat principal,17.25,"Poisson/poulet, carottes, poireaux, céleri, crème",Poisson,40,35,Disponible,4.3,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2022/02/18061624/waterzooi-poisson-1024x678.jpg
14,Les chicons au gratin,Des endives cuites dans une sauce béchamel onctueuse et gratinées au fromage,Accompagnement,9.75,"Endives, lait, farine, beurre, fromage",Lactose,30,25,Disponible,4.0,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2022/01/14040003/shutterstock_1369979171-1-1024x683.jpg
15,Les scampis à la crème,Des scampis sautés dans une sauce crémeuse à l'ail et aux herbes,Plat principal,22.50,"Scampis, crème, beurre, ail, persil",Crustacés,35,20,Disponible,4.5,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124328/scampis-1024x683.jpg
16,Le cuberdon,Une confiserie belge traditionnelle en forme de nez, avec un extérieur croquant et un intérieur doux et sucré,Dessert,2.25,"Sucre, sirop de glucose, gomme arabique, arôme de framboise",-,5,0,Disponible,4.4,https://offloadmedia.feverup.com/bruxellessecrete.com/wp-content/uploads/2023/01/28124328/scampis-1024x683.jpg
